204012843,98
100000133,94
100000082,46
100000110,64
100000083,51
100000086,100
100000057,83
100000001,61
100000010,53
100000100,52
100000103,31
100000106,58
100000124,46
100000109,48
100000112,38
100000115,53
100000118,79
100000121,88
100000127,58
100000013,77
100000130,57
100000136,32
100000139,59
100000142,53
100000145,56
100000148,39
100000016,48
100000019,40
100000022,40
100000025,34
100000028,54
100000031,92
100000034,46
100000037,63
100000004,52
100000040,98
100000043,66
100000046,31
100000049,71
100000052,71
100000055,77
100000058,84
100000061,98
100000064,59
100000067,43
100000007,78
100000070,65
100000073,96
100000076,69
100000079,88
100000085,95
100000088,95
100000091,51
100000094,50
100000097,54
13306632,47
100000101,77
100000104,38
100000107,60
100000011,91
100000113,46
100000116,56
100000119,87
100000122,32
100000125,82
100000128,36
100000131,60
100000134,42
100000137,38
100000014,83
100000140,44
100000143,61
100000146,90
100000149,42
100000017,73
100000002,79
100000020,75
100000023,31
100000026,31
100000029,63
100000032,46
100000035,34
100000038,69
100000041,79
100000044,30
100000047,69
100000005,65
100000050,67
100000053,94
100000056,81
100000059,55
100000062,34
100000065,59
100000068,74
100000071,35
100000074,50
100000077,80
100000008,52
100000080,31
100000089,51
100000092,32
100000095,77
100000098,94
100000102,63
100000105,54
100000108,59
100000111,46
100000114,66
100000117,68
100000012,60
100000120,95
100000123,55
100000126,98
100000129,98
100000132,42
100000135,79
100000138,88
100000141,63
100000144,43
100000147,94
100000015,86
100000150,53
100000018,88
100000021,87
100000024,39
100000027,31
100000003,37
100000030,87
100000033,35
100000036,66
100000039,32
100000042,57
100000045,93
100000048,32
100000051,39
100000054,74
100000006,47
100000060,66
100000063,63
100000066,44
100000069,34
100000072,33
100000075,75
100000078,84
100000081,66
100000084,39
100000087,35
100000009,82
100000090,74
100000093,59
100000096,40
100000099,76
